name,set,total,usd,usd_foil,usd_etched,release_date,year
Plains,Jumpstart 2022,0.18,0.18,0.0,0.0,2022-12-02,2022
Plains,Starter Commander Decks,0.28,0.28,0.0,0.0,2022-12-02,2022
Plains,Judge Gift Cards 2023,15.44,0.0,15.44,0.0,2023-01-01,2023
Plains,Dominaria Remastered,1.6799999999999997,0.36,1.3199999999999998,0.0,2023-01-13,2023
Plains,Phyrexia: All Will Be One,8.12,0.92,7.199999999999999,0.0,2023-02-03,2023
Plains,Shadows over Innistrad Remastered,0.0,0.0,0.0,0.0,2023-03-21,2023
Plains,March of the Machine,1.05,0.4,0.65,0.0,2023-04-21,2023
Plains,The Lord of the Rings: Tales of Middle-earth,3.48,0.67,2.81,0.0,2023-06-23,2023
Plains,Commander Masters,3.3800000000000003,1.46,1.9200000000000002,0.0,2023-08-04,2023
Plains,Wilds of Eldraine,0.95,0.33999999999999997,0.61,0.0,2023-09-08,2023
Plains,Doctor Who,3.01,0.21000000000000002,2.8,0.0,2023-10-13,2023
Plains,The Lost Caverns of Ixalan,1.4300000000000002,0.45999999999999996,0.97,0.0,2023-11-17,2023
Plains,Murders at Karlov Manor,0.84,0.36,0.48,0.0,2024-02-09,2024
Plains,MKM Standard Showdown,0.0,0.0,0.0,0.0,2024-02-10,2024
Plains,Ravnica: Clue Edition,0.45999999999999996,0.45999999999999996,0.0,0.0,2024-02-23,2024
Plains,Fallout,11.51,0.24,11.27,0.0,2024-03-08,2024
Plains,Outlaws of Thunder Junction,0.8500000000000001,0.37,0.48,0.0,2024-04-19,2024
Plains,Modern Horizons 3,1.16,0.29000000000000004,0.8699999999999999,0.0,2024-06-14,2024
Plains,Assassin's Creed,1.1400000000000001,0.43,0.71,0.0,2024-07-05,2024
Plains,Bloomburrow,3.9,1.15,2.75,0.0,2024-08-02,2024
Plains,Secret Lair Showdown,1.81,1.81,0.0,0.0,2024-08-09,2024
Plains,Duskmourn: House of Horror,1.04,0.39,0.65,0.0,2024-09-27,2024
Plains,Foundations,0.0,0.0,0.0,0.0,2024-11-15,2024
Island,Limited Edition Alpha,137.15,137.15,0.0,0.0,1993-08-05,1993
Island,Limited Edition Beta,121.31,121.31,0.0,0.0,1993-10-04,1993
Island,Unlimited Edition,9.45,9.45,0.0,0.0,1993-12-01,1993
Island,Foreign Black Border,22.18,22.18,0.0,0.0,1994-04-11,1994
Island,Revised Edition,1.72,1.72,0.0,0.0,1994-04-11,1994
Island,Summer Magic / Edgar,0.0,0.0,0.0,0.0,1994-06-21,1994
Island,Fourth Edition,1.98,1.98,0.0,0.0,1995-04-01,1995
Island,Fourth Edition Foreign Black Border,13.74,13.74,0.0,0.0,1995-04-01,1995
Island,Ice Age,2.09,2.09,0.0,0.0,1995-06-03,1995
Island,Rivals Quick Start Set,0.0,0.0,0.0,0.0,1996-07-01,1996
Island,Arena League 1996,18.25,18.25,0.0,0.0,1996-08-02,1996
Island,Mirage,3.36,3.36,0.0,0.0,1996-10-08,1996
Island,Introductory Two-Player Set,0.0,0.0,0.0,0.0,1996-12-31,1996
Island,Fifth Edition,2.12,2.12,0.0,0.0,1997-03-24,1997
Island,Portal,5.5600000000000005,5.5600000000000005,0.0,0.0,1997-05-01,1997
Island,Tempest,2.11,2.11,0.0,0.0,1997-10-14,1997
Island,Portal Second Age,2.79,2.79,0.0,0.0,1998-06-24,1998
Island,Unglued,11.16,11.16,0.0,0.0,1998-08-11,1998
Island,Asia Pacific Land Program,62.68,62.68,0.0,0.0,1998-09-01,1998
Island,Urza's Saga,4.68,4.68,0.0,0.0,1998-10-12,1998
Island,Arena League 1999,63.15,0.0,63.15,0.0,1999-01-01,1999
Island,Classic Sixth Edition,1.74,1.74,0.0,0.0,1999-04-21,1999
Island,Portal Three Kingdoms,8.85,8.85,0.0,0.0,1999-05-01,1999
Island,Starter 1999,1.96,1.96,0.0,0.0,1999-07-01,1999
Island,Guru,485.0,485.0,0.0,0.0,1999-07-12,1999
Island,Mercadian Masques,16.62,1.83,14.79,0.0,1999-10-04,1999
Island,Battle Royale Box Set,7.43,7.43,0.0,0.0,1999-11-12,1999
Island,Arena League 2000,10.31,0.0,10.31,0.0,2000-01-01,2000
Island,European Land Program,115.31,115.31,0.0,0.0,2000-02-05,2000
Island,Beatdown Box Set,3.19,3.19,0.0,0.0,2000-10-01,2000
Island,Invasion,32.86,2.82,30.04,0.0,2000-10-02,2000
Island,Arena League 2001,18.9,0.0,18.9,0.0,2001-01-01,2001
Island,Seventh Edition,51.949999999999996,1.54,50.41,0.0,2001-04-11,2001
Island,Odyssey,20.68,2.9,17.78,0.0,2001-10-01,2001
Island,Arena League 2002,58.49,0.0,58.49,0.0,2002-01-01,2002
Island,Onslaught,20.28,2.19,18.09,0.0,2002-10-07,2002
Island,Arena League 2003,35.98,35.98,0.0,0.0,2003-01-01,2003
Island,Eighth Edition,12.72,1.77,10.950000000000001,0.0,2003-07-28,2003
Island,Mirrodin,5.42,1.18,4.24,0.0,2003-10-02,2003
Island,Magic Online Promos,0.0,0.0,0.0,0.0,2003-12-31,2003
Island,Arena League 2004,2.92,2.92,0.0,0.0,2004-01-01,2004
Island,Champions of Kamigawa,9.1,2.38,6.720000000000001,0.0,2004-10-01,2004
Island,Unhinged,46.85,6.9,39.95,0.0,2004-11-19,2004
Island,Arena League 2005,13.31,13.31,0.0,0.0,2005-01-01,2005
Island,Magic Premiere Shop 2005,86.92,0.0,86.92,0.0,2005-01-01,2005
Island,Ninth Edition,6.46,1.77,4.6899999999999995,0.0,2005-07-29,2005
Island,Salvat 2005,0.0,0.0,0.0,0.0,2005-08-22,2005
Island,Ravnica: City of Guilds,3.14,0.91,2.23,0.0,2005-10-07,2005
Island,Arena League 2006,0.09,0.09,0.0,0.0,2006-01-01,2006
Island,Magic Premiere Shop 2006,16.46,0.0,16.46,0.0,2006-01-01,2006
Island,Coldsnap Theme Decks,1.1,1.1,0.0,0.0,2006-07-21,2006
Island,Time Spiral,2.9,0.7,2.2,0.0,2006-10-06,2006
Island,Magic Premiere Shop 2007,4.5,0.0,4.5,0.0,2007-01-01,2007
Island,Tenth Edition,10.74,0.74,10.0,0.0,2007-07-13,2007
Island,Masters Edition,0.0,0.0,0.0,0.0,2007-09-10,2007
Island,Lorwyn,19.349999999999998,3.48,15.87,0.0,2007-10-12,2007
Island,Magic Premiere Shop 2008,3.64,0.0,3.64,0.0,2008-01-01,2008
Island,Shadowmoor,7.16,0.89,6.2700000000000005,0.0,2008-05-02,2008
Island,Shards of Alara,6.569999999999999,0.91,5.66,0.0,2008-10-03,2008
Island,Duel Decks: Jace vs. Chandra,0.78,0.78,0.0,0.0,2008-11-07,2008
Island,Magic Premiere Shop 2009,5.09,1.09,4.0,0.0,2009-01-01,2009
Island,Magic 2010,6.95,0.52,6.43,0.0,2009-07-17,2009
Island,Planechase,2.08,2.08,0.0,0.0,2009-09-04,2009
Island,Masters Edition III,0.0,0.0,0.0,0.0,2009-09-07,2009
Island,Zendikar,42.51,3.6,38.91,0.0,2009-10-02,2009
Island,Premium Deck Series: Slivers,0.37,0.0,0.37,0.0,2009-11-20,2009
Island,Magic Premiere Shop 2010,5.8,2.25,3.55,0.0,2010-01-01,2010
Island,Duel Decks: Phyrexia vs. the Coalition,0.67,0.67,0.0,0.0,2010-03-19,2010
Island,Rise of the Eldrazi,6.5600000000000005,1.1600000000000001,5.4,0.0,2010-04-23,2010
Island,Duels of the Planeswalkers,0.97,0.97,0.0,0.0,2010-06-04,2010
Island,Archenemy,2.1,2.1,0.0,0.0,2010-06-18,2010
Island,Magic 2011,5.75,0.4,5.35,0.0,2010-07-16,2010
Island,Duel Decks: Elspeth vs. Tezzeret,0.61,0.61,0.0,0.0,2010-09-03,2010
Island,Scars of Mirrodin,6.92,0.63,6.29,0.0,2010-10-01,2010
Island,Magic Online Theme Decks,0.0,0.0,0.0,0.0,2010-11-08,2010
Island,Magic Premiere Shop 2011,6.48,2.85,3.63,0.0,2011-01-01,2011
Island,Salvat 2011,0.0,0.0,0.0,0.0,2011-01-01,2011
Island,Mirrodin Besieged,2.5700000000000003,0.21,2.36,0.0,2011-02-04,2011
Island,New Phyrexia,9.04,0.6100000000000001,8.43,0.0,2011-05-13,2011
Island,Duel Decks: Mirrodin Pure vs. New Phyrexia,0.0,0.0,0.0,0.0,2011-05-14,2011
Island,Commander 2011,0.6,0.6,0.0,0.0,2011-06-17,2011
Island,Magic 2012,1.57,0.35,1.22,0.0,2011-07-15,2011
Island,Duel Decks: Ajani vs. Nicol Bolas,0.12,0.12,0.0,0.0,2011-09-02,2011
Island,Innistrad,6.13,0.8200000000000001,5.31,0.0,2011-09-30,2011
Island,Duel Decks: Venser vs. Koth,0.33999999999999997,0.33999999999999997,0.0,0.0,2012-03-30,2012
Island,Avacyn Restored,2.4400000000000004,0.44,2.0,0.0,2012-05-04,2012
Island,Planechase 2012,0.85,0.85,0.0,0.0,2012-06-01,2012
Island,Magic 2013,2.21,0.38,1.83,0.0,2012-07-13,2012
Island,Duel Decks: Izzet vs. Golgari,0.71,0.71,0.0,0.0,2012-09-07,2012
Island,Return to Ravnica,3.2600000000000002,0.45,2.81,0.0,2012-10-05,2012
Island,Magic 2014,1.4000000000000001,0.37,1.03,0.0,2013-07-19,2013
Island,Theros,4.46,0.4,4.0600000000000005,0.0,2013-09-27,2013
Island,Commander 2013,0.26,0.26,0.0,0.0,2013-11-01,2013
Island,Judge Gift Cards 2014,119.85,0.0,119.85,0.0,2014-01-01,2014
Island,Duel Decks: Jace vs. Vraska,0.48,0.48,0.0,0.0,2014-03-14,2014
Island,Magic 2015,2.25,0.3,1.95,0.0,2014-07-18,2014
Island,Duel Decks: Speed vs. Cunning,0.44,0.44,0.0,0.0,2014-09-05,2014
Island,Khans of Tarkir,2.58,0.45,2.13,0.0,2014-09-26,2014
Island,Commander 2014,0.36,0.36,0.0,0.0,2014-11-07,2014
Island,Duel Decks Anthology: Jace vs. Chandra,0.76,0.76,0.0,0.0,2014-12-05,2014
Island,Fate Reforged,1.73,0.17,1.56,0.0,2015-01-23,2015
Island,Duel Decks: Elspeth vs. Kiora,0.45,0.45,0.0,0.0,2015-02-27,2015
Island,Dragons of Tarkir,2.5,0.43000000000000005,2.0700000000000003,0.0,2015-03-27,2015
Island,Tempest Remastered,0.0,0.0,0.0,0.0,2015-05-06,2015
Island,Magic Origins,2.62,0.31,2.3099999999999996,0.0,2015-07-17,2015
Island,Battle for Zendikar,6.84,1.65,5.1899999999999995,0.0,2015-10-02,2015
Island,Commander 2015,0.5700000000000001,0.5700000000000001,0.0,0.0,2015-11-13,2015
Island,Duel Decks: Blessed vs. Cursed,0.8600000000000001,0.8600000000000001,0.0,0.0,2016-02-26,2016
Island,Shadows over Innistrad,1.92,0.26,1.6600000000000001,0.0,2016-04-08,2016
Island,Kaladesh,1.6,0.31,1.29,0.0,2016-09-30,2016
Island,Commander 2016,0.45,0.45,0.0,0.0,2016-11-11,2016
Island,Planechase Anthology,0.79,0.79,0.0,0.0,2016-11-25,2016
Island,Duel Decks: Mind vs. Might,0.5,0.5,0.0,0.0,2017-03-31,2017
Island,Amonkhet,4.72,0.43,4.29,0.0,2017-04-28,2017
Island,Commander Anthology,0.97,0.97,0.0,0.0,2017-06-09,2017
Island,Archenemy: Nicol Bolas,0.38,0.38,0.0,0.0,2017-06-16,2017
Island,Hour of Devastation,3.31,0.47,2.84,0.0,2017-07-14,2017
Island,Commander 2017,0.61,0.61,0.0,0.0,2017-08-25,2017
Island,Ixalan,4.17,0.65,3.52,0.0,2017-09-29,2017
Island,XLN Standard Showdown,0.56,0.0,0.56,0.0,2017-09-29,2017
Island,2017 Gift Pack,0.56,0.0,0.56,0.0,2017-10-20,2017
Island,Duel Decks: Merfolk vs. Goblins,0.64,0.64,0.0,0.0,2017-10-24,2017
Island,Unstable,49.82,3.58,46.24,0.0,2017-12-08,2017
Island,Rivals of Ixalan,2.68,0.64,2.04,0.0,2018-01-19,2018
Island,Duel Decks: Elves vs. Inventors,0.25,0.25,0.0,0.0,2018-04-06,2018
Island,Dominaria,2.21,0.43,1.78,0.0,2018-04-27,2018
Island,Battlebond,1.08,0.84,0.24,0.0,2018-06-08,2018
Island,Commander Anthology Volume II,1.8599999999999999,1.8599999999999999,0.0,0.0,2018-06-08,2018
Island,Grand Prix Promos,2.27,0.0,2.27,0.0,2018-06-14,2018
Island,Global Series Jiang Yanggu & Mu Yanling,0.74,0.74,0.0,0.0,2018-06-22,2018
Island,Core Set 2019,1.49,0.34,1.1500000000000001,0.0,2018-07-13,2018
Island,M19 Standard Showdown,0.63,0.0,0.63,0.0,2018-07-13,2018
